Key,Context,Example,Source,ja
,,,+{number1} STR,+{number1} STR
,,,+{number1} Tier,+{number1} ティア
,,,+{number1}% DMG,+{number1}% DMG
,,,Auto Tap,自動タップ
,,,BACK,戻る
,,,CLAIMED,受け取り済み
,,,Loading…,読み込み中...
,,,Merge {number1} identical items to upgrade,{number1} 個の同じアイテムをマージしてアップグレードする
,,,NO ITEMS AVAILABLE,利用可能なアイテムがありません
,,,OFF,オフ
,,,ON,オン
,,,Owned: {number1},所有済み: {number1}
,,,Pipi_Kiwi,Pipi_Kiwi
,,,Player,プレイヤー
,,,REQUIRED LEVEL  Lv {number1}  •  Lv {number2} / {number3},"必要なレベル Lv {number1} • Lv {number2} / {number3}
"
,,,Return to World {number1}?,ワールド {number1} に戻りますか？
,,,SELECT ITEM,アイテムを選択
,,,SELECT {number1} ITEM,{number1} アイテムを選択する
,,,Select another item,別のアイテムを選択してください
,,,Updated {time1} JST,更新 {time1} JST
,,,Whatevertheusernameis,ユーザー名はなんでもいいよ
,,,X,X
,,,{number1} 勝利数,{number1} 勝利数
,,,{number1}/{number2} ITEMS,{number1}/{number2} アイテム
,,,{number1}K,{number1}K
,,,{number1}K / {number2}K,{number1}K / {number2}K
,,,{number1}M / {number2}M,{number1}M / {number2}M
,,,×{number1},×{number1}
,,,— / —,- / - 
,,,★,★
,,,★{number1},★{number1}
,,,⚡ Electric · Common,⚡ 電気・コモン 
,,,✓,✓
,,,❄️ Ice · Common,❄️ 氷・普通 
,,, {number1}, {number1}
,,,+1M Cash,Cash +100万
,,,+{number1} Strength,強さ +{number1}
,,,+{number1}% Strength,強さ +{number1}%
,,,- DUMBBELLS -,- ダンベル -
,,,- GAMEPASSES -,- ゲームパス -
,,,- Gamepasses -,- ゲームパス -
,,,- ITEMS -,- アイテム -
,,,"100 Win • Strength Potion ×1 • Training Potion ×1
Potions activate immediately (180s / 180s)","100 Win • 強さポーション ×1 • トレーニングポーション ×1
ポーションはすぐに発動（180秒 / 180秒）"
,,,2× Win,Win 2倍
,,,40 WalkSpeed,歩行速度 40
,,,"500 Win • Secret Aura • Epic+ Item ×1
No MISS • View item odds before purchase","500 Win • シークレットオーラ • Epic以上のアイテム ×1
ハズレなし • 購入前に確率を確認できます"
,,,6.4K Strength,強さ 6.4K
,,,Already owned,所有済み
,,,ALREADY OWNED,所有済み
,,,Aura,オーラ
,,,BEST EQUIP,ベスト装備
,,,Best items already equipped.,すでにベスト装備です。
,,,Best items equipped.,ベスト装備にしました。
